DishId,DishName,Price,ImageUrl,Description
38,Frozen Avocado Cake,42,frozen-avocado-cake-nadine-levy-redzepi.jpg,"This dish contains: avocado, butter, cheese, cream, lemon, lime, milk, salt."
39,Chocolate Zucchini Cake,11,chocolate-zucchini-cake-907.jpg,"This dish contains: butter, cocoa, egg, flour, oil, powder, salt, soda, sugar, tea, vanilla, walnut."
40,Tomato Pie With Sour Cream Crust,44,tomato-pie-sour-cream-crust.jpg,"This dish contains: butter, cheese, cream, egg, flour, milk, onion, parsley, pepper, salt, tea, thyme, tomato, vinegar, water, wine, yogurt."
41,Spicy Pork Belly Sliders,24,spicy-pork-belly-sliders-jeyuk-bokkeum-hooni-kim.jpg,"This dish contains: butter, cucumber, garlic, oil, onion, pork, soy, sugar."
42,Coconut Rice,5,coconut-rice-leela-punyaratabandhu.jpg,"This dish contains: cream, milk, rice, salt, sugar, tea, water."
43,Peach and Sesame Crumble,27,peach-and-sesame-crumble.jpg,"This dish contains: butter, cinnamon, corn, cream, flour, lemon, oil, peach, salt, sugar."
44,Ginger and Tamarind Refresher,27,ginger-and-tamarind-refresher-nik-sharma.jpg,"This dish contains: ginger, soda, sugar, water."
45,Peanut Butter Brookies,37,peanut-butter-brookies-edd-kimber.jpg,"This dish contains: butter, cocoa, egg, flour, powder, salt, soda, sugar, tea, vanilla."
46,Kimchi Toast,25,kimchi-toast.jpg,"This dish contains: bread, cheese, cilantro, cream, lime, oil, salt."
47,Buttered Tomatoes with Ginger,33,buttered-tomatoes-with-ginger.jpg,"This dish contains: bread, butter, ginger, pasta, rice, salt, soy, tomato."
48,Burst Cherry Tomato Pasta,50,burst-cherry-tomato-pasta.jpg,"This dish contains: clove, garlic, oil, pasta, pepper, salt, sugar, tomato."
49,Salted PB&J; Ice Cream Pie,38,salted-peanut-butter-jelly-pbj-ice-cream-pie.jpg,"This dish contains: butter, cream, egg, salt, sugar, vanilla."
50,Farmers Market Farro Bowls,21,farmers-market-farro-bowls-with-tofu.jpg,"This dish contains: carrot, egg, lime, oil, pepper, rice, salt, soy, sugar, vinegar, water."
