DishId,DishName,Price,ImageUrl,Description
20,Chicken Pelau,40,pelau-234498.jpg,"This dish contains: bean, butter, carrot, chicken, clove, garlic, milk, oil, onion, parsley, pepper, rice, salt, sugar, tea, thyme."
21,Buss Up Shut (Paratha Roti),34,buss-up-shut-paratha-roti-ramin-ganeshram.jpg,"This dish contains: butter, flour, milk, oil, powder, sugar."
22,Best Deviled Eggs,5,deviled-eggs-106562.jpg,"This dish contains: egg, mustard, paprika, tea."
23,Mango Curry,32,mango-curry-joe-thottungal.jpg,"This dish contains: clove, garlic, ginger, milk, mustard, oil, onion, rice, salt, shallot, vinegar."
24,Old-Fashioned Scalloped Potatoes,29,old-fashioned-scalloped-potatoes-10270.jpg,"This dish contains: bread, butter, flour, milk, onion, potato."
25,Yogurt and Spice Roasted Salmon,40,easy-yogurt-and-spice-roasted-salmon-sabrina-ghayour.jpg,"This dish contains: garlic, lime, oil, onion, paprika, pepper, salt, tea, tomato, yogurt."
26,Pita,12,fresh-homemade-pita-alon-shaya.jpg,"This dish contains: bread, flour, oil, salt, tea, water."
27,Veselka's Famous Borscht,24,veselkas-famous-borscht.jpg,"This dish contains: bean, beef, carrot, chicken, pepper, pork, potato, tea, vinegar."
28,Tomato Brown Butter,27,tomato-brown-butter-cortney-burns.jpg,"This dish contains: butter, pepper, salt, tomato."
29,Maple-Roasted Acorn Squash,21,maple-roasted-acorn-squash-ina-garten.jpg,"This dish contains: butter, oil, pepper, salt."
30,Coconut-Creamed Corn and Grains,35,coconut-creamed-corn-and-grains.jpg,"This dish contains: clove, corn, garlic, ginger, milk, oil, onion, salt, shallot."
31,Tomato and Roasted Garlic Pie,32,tomato-and-roasted-garlic-pie.jpg,"This dish contains: butter, cheese, clove, egg, garlic, oil, pepper, salt, shallot, tea, thyme, tomato."
32,Sesame-Scallion Chicken Salad,46,sesame-scallion-chicken-salad.jpg,"This dish contains: chicken, cilantro, cucumber, honey, lime, pepper, salt, soy."
33,Maple Barbecue Grilled Chicken,19,maple-soy-barbecue-grilled-chicken.jpg,"This dish contains: chicken, clove, garlic, oil, rice, salt, soy, tomato, vinegar."
34,Salt-and-Pepper Fish,24,pan-seared-salt-and-pepper-fish.jpg,"This dish contains: butter, ginger, oil, pepper, rice, salt, sugar, vinegar."
35,Fish Tacos al Pastor,49,fish-tacos-al-pastor.jpg,"This dish contains: cilantro, clove, corn, garlic, lime, oil, onion, orange, salt."
36,Nut Butter Granola Bars,18,nut-butter-granola-bars.jpg,"This dish contains: almond, butter, currant, egg, hazelnut, honey, oil, pecan, pistachio, pumpkin, raisin, salt, vanilla, walnut."
37,Tropi-Cobb Salad,2,chicken-mango-cobb-salad.jpg,"This dish contains: avocado, chicken, clove, garlic, lime, oil, onion, pepper, salt, tomato."
38,Frozen Avocado Cake,16,frozen-avocado-cake-nadine-levy-redzepi.jpg,"This dish contains: avocado, butter, cheese, cream, lemon, lime, milk, salt."
39,Chocolate Zucchini Cake,9,chocolate-zucchini-cake-907.jpg,"This dish contains: butter, cocoa, egg, flour, oil, powder, salt, soda, sugar, tea, vanilla, walnut."
40,Tomato Pie With Sour Cream Crust,13,tomato-pie-sour-cream-crust.jpg,"This dish contains: butter, cheese, cream, egg, flour, milk, onion, parsley, pepper, salt, tea, thyme, tomato, vinegar, water, wine, yogurt."
41,Spicy Pork Belly Sliders,12,spicy-pork-belly-sliders-jeyuk-bokkeum-hooni-kim.jpg,"This dish contains: butter, cucumber, garlic, oil, onion, pork, soy, sugar."
42,Coconut Rice,31,coconut-rice-leela-punyaratabandhu.jpg,"This dish contains: cream, milk, rice, salt, sugar, tea, water."
43,Peach and Sesame Crumble,35,peach-and-sesame-crumble.jpg,"This dish contains: butter, cinnamon, corn, cream, flour, lemon, oil, peach, salt, sugar."
44,Ginger and Tamarind Refresher,16,ginger-and-tamarind-refresher-nik-sharma.jpg,"This dish contains: ginger, soda, sugar, water."
45,Peanut Butter Brookies,13,peanut-butter-brookies-edd-kimber.jpg,"This dish contains: butter, cocoa, egg, flour, powder, salt, soda, sugar, tea, vanilla."
46,Kimchi Toast,20,kimchi-toast.jpg,"This dish contains: bread, cheese, cilantro, cream, lime, oil, salt."
47,Buttered Tomatoes with Ginger,4,buttered-tomatoes-with-ginger.jpg,"This dish contains: bread, butter, ginger, pasta, rice, salt, soy, tomato."
48,Burst Cherry Tomato Pasta,40,burst-cherry-tomato-pasta.jpg,"This dish contains: clove, garlic, oil, pasta, pepper, salt, sugar, tomato."
49,Salted PB&J; Ice Cream Pie,19,salted-peanut-butter-jelly-pbj-ice-cream-pie.jpg,"This dish contains: butter, cream, egg, salt, sugar, vanilla."
50,Farmers Market Farro Bowls,39,farmers-market-farro-bowls-with-tofu.jpg,"This dish contains: carrot, egg, lime, oil, pepper, rice, salt, soy, sugar, vinegar, water."
